FID,Id,x,y
0,0,112.969420752000005,28.204081161500000
1,0,112.969319005000003,28.204089022900000
2,0,112.969217256999997,28.204096884399998
3,0,112.969115443999996,28.204103431600000
4,0,112.969013419000007,28.204105695900001
5,0,112.968911392999999,28.204107960100000
6,0,112.968809367000006,28.204110224400001
7,0,112.968707342000002,28.204112488600000
8,0,112.966678311999999,28.204113068700000
9,0,112.966576410000002,28.204118582700001
10,0,112.966474508000005,28.204124096600001
11,0,112.966372605999993,28.204129610599999
12,0,112.966270704999999,28.204135124600000
13,0,112.966168803000002,28.204140638500000
14,0,112.966067131000003,28.204148325100000
15,0,112.965966327999993,28.204164233899998
16,0,112.965865523999994,28.204180142599999
17,0,112.965764720999999,28.204196051299999
18,0,112.965663918000004,28.204211960100000
19,0,112.965563114999995,28.204227868800000
20,0,112.965462642000006,28.204245688499999
21,0,112.965362356000000,28.204264584200001
22,0,112.965262069999994,28.204283479899999
23,0,112.965161784000003,28.204302375600001
24,0,112.965061496999994,28.204321271400001
25,0,112.964960125000005,28.204332703599999
26,0,112.964958049000003,28.204418726699998
27,0,112.964975167999995,28.204519331400000
28,0,112.964992287000001,28.204619936099999
29,0,112.965009406999997,28.204720540899999
30,0,112.965026526000003,28.204821145600000
31,0,112.965043644999994,28.204921750299999
32,0,112.965060823000002,28.205022344800000
33,0,112.965078323000000,28.205122883900000
34,0,112.965095824000002,28.205223423000000
35,0,112.965113324000001,28.205323962100000
36,0,112.965130823999999,28.205424501300001
37,0,112.965148325000001,28.205525040400001
38,0,112.965165825000000,28.205625579500001
39,0,112.965183324999998,28.205726118600001
40,0,112.965200824999997,28.205826657700001
41,0,112.965218325999999,28.205927196800001
42,0,112.965235825999997,28.206027735900001
43,0,112.965253325999996,28.206128275099999
44,0,112.965270826999998,28.206228814199999
45,0,112.965288326999996,28.206329353299999
46,0,112.965305826999995,28.206429892399999
47,0,112.965323326999993,28.206530431499999
48,0,112.965340827999995,28.206630970599999
49,0,112.965358327999994,28.206731509699999
50,0,112.965375828000006,28.206832048900001
51,0,112.967510824000001,28.204110442499999
52,0,112.967408773000002,28.204110220099999
53,0,112.967306722999993,28.204109997700002
54,0,112.967204671999994,28.204109775199999
55,0,112.967102621999999,28.204109552799999
56,0,112.967000571000000,28.204109330400001
57,0,112.966898520000001,28.204109108000001
58,0,112.966796470000006,28.204108885600000
59,0,112.967569295000004,28.204173349400001
60,0,112.967568333000003,28.204275395700002
61,0,112.967567371000001,28.204377441999998
62,0,112.968224591999999,28.204111998100000
63,0,112.968122541000000,28.204111775699999
64,0,112.968020491000004,28.204111553299999
65,0,112.967918440000005,28.204111330900002
66,0,112.967816389999996,28.204111108399999
67,0,112.967714338999997,28.204110885999999
68,0,112.967612287999998,28.204110663600002
69,0,112.968256085999997,28.204171598999999
70,0,112.968249478999994,28.204273435699999
71,0,112.968242871000001,28.204375272400000
72,0,112.968673160999998,28.204112975699999
73,0,112.968571109999999,28.204112753299999
74,0,112.968469060000004,28.204112530900002
75,0,112.968367009000005,28.204112308500001
76,0,112.968264958000006,28.204112086100000
77,0,112.967663729999998,28.204447297100000
78,0,112.967765727000000,28.204450623700001
79,0,112.967867724000001,28.204453950200001
